divipola,muni,dept,lean,votval
17524,Palestina,Caldas,0.1287,7662
17001,Manizales,Caldas,0.1065,230488
17873,Villamaría,,0.0669,31809
17662,Samaná,Caldas,0.364,8667
17867,Victoria,Caldas,0.2509,4504
17444,Marquetalia,Caldas,0.3051,6666
17380,La Dorada,Caldas,0.0721,30571
17433,Manzanares,Caldas,0.3542,7793
17495,Norcasia,Caldas,0.2126,3203
17446,Marulanda,Caldas,0.4618,1152
17541,Pensilvania,Caldas,0.2769,8795
17174,Chinchiná,Caldas,0.1322,26429
17614,Riosucio,Caldas,0.0218,23537
17777,Supía,Caldas,0.0799,12214
17442,Marmato,Caldas,0.0547,3090
17088,Belalcázar,Caldas,0.1146,5229
17877,Viterbo,Caldas,0.3133,7639
17042,Anserma,Caldas,0.2581,15264
17665,San José,Caldas,0.1692,2642
17616,Risaralda,Caldas,0.2849,5178
17513,Pácora,Caldas,0.3682,6768
17050,Aranzazu,Caldas,0.3905,5859
17272,Filadelfia,Caldas,0.342,4588
17013,Aguadas,Caldas,0.4045,10770
17653,Salamina,Caldas,0.2463,7372
17388,La Merced,Caldas,0.2051,2808
17486,Neira,Caldas,0.2798,10562
19517,Páez,Cauca,-0.7015,13241
XPAIME,Paime,Cudinamarca,0.4742,2518
15469,Moniquirá,Boyacá,0.2382,12501
15176,Chiquinquirá,Boyacá,0.2002,29018
15531,Pauna,Boyacá,0.3883,3814
15664,San José de Pare,Boyacá,0.4782,2959
15696,Santa Sofía,Boyacá,0.5703,2113
15776,Sutamarchán,Boyacá,0.3617,4183
15106,Briceño,Boyacá,0.5982,1431
15816,Togüí,Boyacá,0.4506,2288
15051,Arcabuco,Boyacá,0.2109,3314
15131,Caldas,Boyacá,0.3953,1920
15808,Tinjacá,Boyacá,0.2217,2278
15832,Tununguá,Boyacá,0.4368,950
27580,Río Iró,Chocó,-0.4841,1574
27430,Medio Baudó,Chocó,-0.8536,3491
05576,Pueblorrico,Antioquia,0.4658,3611
05368,Jericó,Antioquia,0.4228,6894
05789,Támesis,Antioquia,0.2705,8415
27600,Río Quito,Chocó,-0.5279,3311
27073,Bagadó,Chocó,-0.746,2843
05756,Sonsón,Antioquia,0.4565,16099
05034,Andes,5,0.432,17551
05353,Hispania,Antioquia,0.4412,2593
05364,Jardín,Antioquia,0.3377,8530
05002,Abejorral,Antioquia,0.4372,7472
05483,Nariño,Antioquia,0.5515,3750
05390,La Pintada,Antioquia,0.1933,3709
05679,Santa Bárbara,Antioquia,0.2772,11417
05400,La Unión,Antioquia,0.3634,13913
05055,Argelia,Antioquia,0.5095,3164
05197,Cocorná,Antioquia,0.5647,8669
05376,La Ceja,Antioquia,0.4062,46228
05667,San Rafael,Antioquia,0.423,7438
05649,San Carlos,Antioquia,0.4528,8722
05885,Yalí,Antioquia,0.3811,2393
05086,Belmira,Antioquia,0.4617,2729
05190,Cisneros,Antioquia,0.2864,6579
05310,Gómez Plata,Antioquia,0.484,4655
05686,Santa Rosa de Osos,Antioquia,0.4097,17012
05030,Amagá,Antioquia,0.2043,12966
05088,Bello,Antioquia,0.2377,225626
05308,Girardota,Antioquia,0.2393,31629
05264,Entrerríos,Antioquia,0.5181,5771
05425,Maceo,Antioquia,0.3768,4379
05209,Concordia,Antioquia,0.4928,6764
05411,Liborina,Antioquia,0.4844,4808
05631,Sabaneta,Antioquia,0.4522,70950
05284,Frontino,Antioquia,0.1741,6547
05318,Guarne,Antioquia,0.3915,31950
05690,Santo Domingo,Antioquia,0.3981,5285
05036,Angelópolis,Antioquia,0.3708,2899
05890,Yolombó,Antioquia,0.3126,7588
05212,Copacabana,Antioquia,0.2162,45747
05266,Envigado,Antioquia,0.5074,163223
05004,Abriaquí,Antioquia,0.455,1077
05873,Vigía del Fuerte,Antioquia,-0.6373,2192
05861,Venecia,Antioquia,0.4346,5672
05847,Urrao,Antioquia,0.4188,10593
05129,Caldas,Antioquia,0.1921,46595
05380,La Estrella,Antioquia,0.2927,42053
05809,Titiribí,Antioquia,0.2682,4008
05021,Alejandría,Antioquia,0.522,2724
05282,Fredonia,Antioquia,0.2842,8694
05579,Puerto Berrío,Antioquia,0.1305,14764
05642,Salgar,Antioquia,0.6208,5752
05079,Barbosa,Antioquia,0.1955,23983
05125,Caicedo,Antioquia,0.2892,3008
05670,San Roque,Antioquia,0.4097,8453
73671,Saldaña,Tolima,0.2017,7418
73026,Alvarado,Tolima,0.0198,4699
73616,Rioblanco,Tolima,0.2773,6633
73217,Coyaima,Tolima,-0.197,9864
73408,Lérida,Tolima,-0.1724,8490
73854,Valle de San Juan,Tolima,0.4333,2788
73861,Venadillo,Tolima,0.0497,6341
73168,Chaparral,Tolima,0.1426,18909
73461,Murillo,Tolima,0.077,1585
73043,Anzoátegui,Tolima,0.3082,3838
15537,Paz de Río,Boyacá,-0.1059,2351
15806,Tibasosa,Boyacá,-0.0117,6912
15790,Tasco,boyacÁ,0.2939,2855
15204,Cómbita,Boyacá,0.0715,6000
15516,Paipa,Boyacá,0.0555,21309
15092,Betéitiva,Boyacá,0.2319,1216
15238,Duitama,Boyacá,0.0288,69312
15087,Belén,Boyacá,0.2687,4496
15837,Tuta,Boyacá,0.1412,5685
15763,Sotaquirá,Boyacá,0.2454,4128
73520,Palocabildo,Tolima,0.199,4237
41668,San Agustín,Huila,0.2092,15610
73152,Casabianca,Tolima,0.309,2799
41006,Acevedo,Huila,0.5255,12760
41530,Palestina,Huila,0.3224,5919
41872,Villavieja,,0.0871,3937
41770,Suaza,Huila,0.4568,9072
41026,Altamira,Huila,0.151,2007
41807,Timaná,Huila,0.4412,9931
73347,Herveo,Tolima,0.3791,2933
41013,Agrado,Huila,0.4084,4740
73283,Fresno,Tolima,0.2329,14297
73870,Villahermosa,,0.1245,3286
41503,Oporapa,Huila,0.5602,5466
41298,Garzón,Huila,0.3229,36725
73411,Líbano,Tolima,-0.1349,17897
73443,Mariquita,Tolima,0.0639,16746
73547,Piedras,Tolima,0.0149,3161
73030,Ambalema,Tolima,-0.0937,3372
73275,Flandes,Tolima,0.0493,11934
73352,Icononzo,,-0.0566,5384
73200,Coello,Tolima,-0.1058,4917
73873,Villarrica,,0.4323,2776
73226,Cunday,Tolima,0.4079,3878
27361,Istmina,Chocó,-0.6015,8367
66594,Quinchía,Risaralda,-0.2354,11360
27491,Nóvita,Chocó,-0.5316,2090
27745,Sipí,Chocó,-0.7933,1079
66682,Santa Rosa de Cabal,Risaralda,0.1786,42184
63401,La Tebaida,Quindío,-0.0322,16975
63548,Pijao,Quindío,0.2407,2987
66440,Marsella,Risaralda,0.1326,8004
66045,Apía,Risaralda,0.2494,5513
63470,Montenegro,Quindío,0.1415,18060
63302,Génova,Quindío,0.2226,3719
27205,Condoto,Chocó,-0.6562,4116
27160,Cértegui,Chocó,-0.5995,2065
27450,Medio San Juan,Chocó,-0.7768,3204
52019,Albán (San José),Nariño,0.0255,4437
52685,San Bernardo,Nariño,-0.1065,4150
52693,San Pablo,Nariño,-0.6692,7037
52083,Belén,Nariño,-0.3378,3085
52051,Arboleda (Berruecos),Nariño,-0.1644,3310
52687,San Lorenzo,Nariño,-0.2769,7999
52203,Colón (Génova),Nariño,-0.4967,3646
52399,La Unión,Nariño,-0.1555,13522
52694,San Pedro de Cartago,Nariño,0.0598,3159
52378,La Cruz,Nariño,-0.3738,8535
19318,Guapi,Cauca,-0.8644,7381
19533,Piamonte,Cauca,-0.2687,2802
19701,Santa Rosa,Cauca,-0.4699,2113
86865,Valle del Guamuez (La Hormiga),Putumayo,-0.687,15068
52356,Ipiales,Nariño,-0.3606,56243
86757,San Miguel (La Dorada),Putumayo,-0.7009,7211
52207,Consacá,Nariño,-0.3415,5519
52490,Olaya Herrera (Bocas de Satinga),Nariño,-0.8187,6785
52390,La Tola,Nariño,-0.7889,2435
19418,López,,-0.8467,4775
52473,Mosquera,Nariño,-0.9228,2981
52224,Cuaspud,Nariño,-0.5055,4548
52621,Roberto Payán (San José),Nariño,-0.9233,4562
52835,Tumaco,Nariño,-0.63,54250
86320,Orito,Putumayo,-0.685,15852
52612,Ricaurte,Nariño,-0.5581,6821
52079,Barbacoas,Nariño,-0.6732,7919
76845,Ulloa,Valle del Cauca,-0.0348,2558
52227,Cumbal,Nariño,-0.6236,16111
52696,Santa Bárbara,,0.2772,11417
76109,Buenaventura,Valle del Cauca,-0.683,89716
52683,Sandoná,Nariño,-0.4152,10364
44874,Villanueva,La Guajira,-0.0714,9962
44650,San Juan del Cesar,La Guajira,0.1535,18711
44110,El Molino,La Guajira,-0.0444,4233
44001,Riohacha,La Guajira,-0.1507,69900
81220,Cravo Norte,Arauca,0.5506,1333
44090,Dibulla,La Guajira,-0.3157,8789
44430,Maicao,La Guajira,-0.0946,49978
44847,Uribia,La Guajira,-0.2032,22269
47288,Fundación,Magdalena,-0.0046,24474
47745,Sitionuevo,Magdalena,-0.2703,7452
44279,Fonseca,La Guajira,-0.3026,15065
44560,Manaure,La Guajira,-0.3058,13180
44078,Barrancas,La Guajira,-0.386,12190
47189,Ciénaga,Magdalena,-0.2732,43313
44855,Urumita,La Guajira,-0.1787,5310
44420,La Jagua del Pilar,La Guajira,-0.1733,2556
47030,Algarrobo,Magdalena,-0.5306,4913
47001,Santa Marta,47,-0.1554,215262
44035,Albania,La Guajira,-0.4706,9887
47570,Puebloviejo,Magdalena,-0.2971,8104
68266,Enciso,Santander,0.5733,2203
68468,Molagavita,Santander,0.621,2235
68255,El Playón,Santander,0.5345,7470
68615,Rionegro,Santander,0.4633,14354
68432,Málaga,Santander,0.3629,10681
68498,Ocamonte,Santander,0.5926,2619
68780,Suratá,Santander,0.4993,2221
68684,San José de Miranda,Santander,0.5544,2915
68533,Páramo,Santander,0.6108,2865
68051,Aratoca,Santander,0.4958,4613
68855,Valle de San José,Santander,0.4699,3756
