divipola,nombre,poblacion,cabecera,urb_share
05001,Medellín,2528343,2479683,0.9808
05002,Abejorral,21147,8450,0.3996
05004,Abriaquí,2807,911,0.3245
05021,Alejandría,5285,2966,0.5612
05030,Amagá,32858,16131,0.4909
05031,Amalfi,29054,16747,0.5764
05034,Andes,45367,22197,0.4893
05036,Angelópolis,6203,2530,0.4079
05038,Angostura,12511,3144,0.2513
05040,Anorí,21035,9307,0.4425
05042,Santafé de Antioquia,28421,18411,0.6478
05044,Anzá,7681,1602,0.2086
05045,Apartadó,125203,104385,0.8337
05051,Arboletes,31707,12212,0.3852
05055,Argelia,8215,3893,0.4739
05059,Armenia,5310,1917,0.361
05079,Barbosa,63455,27023,0.4259
05086,Belmira,6151,1793,0.2915
05088,Bello,601916,580365,0.9642
05091,Betania,10751,3992,0.3713
05093,Betulia,16980,5110,0.3009
05101,Ciudad Bolívar,27573,17015,0.6171
05107,Briceño,7957,2808,0.3529
05113,Buriticá,11015,2928,0.2658
05120,Cáceres,29067,6871,0.2364
05125,Caicedo,9107,2083,0.2287
05129,Caldas,89072,70292,0.7892
05134,Campamento,10005,3029,0.3027
05138,Cañasgordas,15470,5443,0.3518
05142,Caracolí,4510,2770,0.6142
05145,Caramanta,4499,2153,0.4786
05147,Carepa,50952,36681,0.7199
05148,El Carmen de Viboral,69588,41308,0.5936
05150,Carolina,3942,2988,0.758
05154,Caucasia,93843,83783,0.8928
05172,Chigorodó,56738,47620,0.8393
05190,Cisneros,10092,8840,0.8759
05197,Cocorná,16089,7332,0.4557
05206,Concepción,5112,2228,0.4358
05209,Concordia,22163,8081,0.3646
05212,Copacabana,90882,72771,0.8007
05234,Dabeiba,24808,10136,0.4086
05237,Donmatías,19793,12986,0.6561
05240,Ebéjico,12612,2709,0.2148
05250,El Bagre,56197,37980,0.6758
05264,Entrerríos,12736,6699,0.526
05266,Envigado,264637,253737,0.9588
05282,Fredonia,26401,9164,0.3471
05284,Frontino,21778,9639,0.4426
05306,Giraldo,6404,2533,0.3955
05308,Girardota,61439,33686,0.5483
05310,Gómez Plata,10373,5578,0.5377
05313,Granada,10511,5844,0.556
05315,Guadalupe,7009,2562,0.3655
05318,Guarne,65173,22966,0.3524
05321,Guatapé,9695,6411,0.6613
05347,Heliconia,5038,2289,0.4543
05353,Hispania,5929,3839,0.6475
05360,Itagüí,304527,275129,0.9035
05361,Ituango,29515,8459,0.2866
05364,Jardín,15433,8402,0.5444
05368,Jericó,14376,8322,0.5789
05376,La Ceja,73275,63489,0.8664
05380,La Estrella,83089,70942,0.8538
05390,La Pintada,8654,7727,0.8929
05400,La Unión,24057,14851,0.6173
05411,Liborina,10854,2753,0.2536
05425,Maceo,8873,3538,0.3987
05440,Marinilla,74390,52542,0.7063
05467,Montebello,6538,2045,0.3128
05475,Murindó,5896,2170,0.368
05480,Mutatá,13821,5442,0.3937
05483,Nariño,11000,3686,0.3351
05490,Necoclí,42569,12212,0.2869
05495,Nechí,29415,16464,0.5597
05501,Olaya,3469,377,0.1087
05541,Peñol,23827,13009,0.546
05543,Peque,8782,2779,0.3164
05576,Pueblorrico,9053,4845,0.5352
05579,Puerto Berrío,39192,33461,0.8538
05585,Puerto Nare,15584,5304,0.3403
05591,Puerto Triunfo,20173,3864,0.1915
05604,Remedios,33021,14344,0.4344
05607,Retiro,27218,14951,0.5493
05615,Rionegro,154192,97065,0.6295
05628,Sabanalarga,9909,3524,0.3556
05631,Sabaneta,106652,92182,0.8643
05642,Salgar,18925,7492,0.3959
05647,San Andrés de Cuerquía,7402,3139,0.4241
05649,San Carlos,16938,7906,0.4668
05652,San Francisco,6058,2788,0.4602
05656,San Jerónimo,18345,8380,0.4568
05658,San José de La Montaña,4017,2599,0.647
05659,San Juan de Urabá,19946,7633,0.3827
05660,San Luis,14447,8692,0.6016
05664,San Pedro de Los Milagros,22287,12627,0.5666
05665,San Pedro de Urabá,32471,15201,0.4681
05667,San Rafael,17411,8991,0.5164
05670,San Roque,24555,8183,0.3333
05674,San Vicente,24776,7025,0.2835
05679,Santa Bárbara,29470,14019,0.4757
05686,Santa Rosa de Osos,40261,22963,0.5704
05690,Santo Domingo,13488,3375,0.2502
05697,El Santuario,39984,28762,0.7193
05736,Segovia,39343,32112,0.8162
05756,Sonsón,35980,17629,0.49
05761,Sopetrán,16523,7451,0.4509
05789,Támesis,16674,7873,0.4722
05790,Tarazá,29298,15278,0.5215
05792,Tarso,6556,3684,0.5619
05809,Titiribí,11537,5355,0.4642
05819,Toledo,4824,1758,0.3644
05837,Turbo,130233,53584,0.4114
05842,Uramita,7455,2483,0.3331
05847,Urrao,31988,17553,0.5487
05854,Valdivia,15014,4414,0.294
05856,Valparaíso,6714,3924,0.5845
05858,Vegachí,12160,8600,0.7072
05861,Venecia,12412,5742,0.4626
05873,Vigía del Fuerte,11430,4131,0.3614
05885,Yalí,7719,3779,0.4896
05887,Yarumal,41884,30065,0.7178
05890,Yolombó,25038,7967,0.3182
05893,Yondó,22061,11587,0.5252
05895,Zaragoza,26785,13547,0.5058
08001,Barranquilla,1279344,1278651,0.9995
08078,Baranoa,75389,63480,0.842
08137,Campo de La Cruz,27320,23858,0.8733
08141,Candelaria,19516,14333,0.7344
08296,Galapa,69643,64476,0.9258
08372,Juan de Acosta,24309,15738,0.6474
08421,Luruaco,33013,17460,0.5289
08433,Malambo,151319,140986,0.9317
08436,Manatí,23834,21126,0.8864
08520,Palmar de Varela,35503,34184,0.9628
08549,Piojó,7876,3536,0.449
08558,Polonuevo,21402,18032,0.8425
08560,Ponedera,27507,16310,0.5929
08573,Puerto Colombia,64226,56016,0.8722
08606,Repelón,30377,20978,0.6906
08634,Sabanagrande,39668,37931,0.9562
08638,Sabanalarga,105157,80138,0.7621
08675,Santa Lucía,19570,16944,0.8658
08685,Santo Tomás,36989,35069,0.9481
08758,Soledad,722845,721770,0.9985
08770,Suan,14460,13606,0.9409
08832,Tubará,20309,10647,0.5243
08849,Usiacurí,15458,14477,0.9365
11001,"Bogotá, D.C.",7942867,7912359,0.9962
13001,Cartagena de Indias,1011520,903881,0.8936
13006,Achí,27912,6167,0.2209
13030,Altos del Rosario,11343,3860,0.3403
13042,Arenal,8668,5121,0.5908
13052,Arjona,73747,58185,0.789
13062,Arroyohondo,8506,4835,0.5684
13074,Barranco de Loba,17437,6507,0.3732
13140,Calamar,25055,14350,0.5727
13160,Cantagallo,8898,4927,0.5537
13188,Cicuco,16002,10413,0.6507
13212,Córdoba,18432,4254,0.2308
13222,Clemencia,16097,13529,0.8405
13244,El Carmen de Bolívar,77083,56338,0.7309
13248,El Guamo,9728,5264,0.5411
13268,El Peñón,7963,2826,0.3549
13300,Hatillo de Loba,13333,3289,0.2467
13430,Magangué,150929,104415,0.6918
13433,Mahates,32192,11553,0.3589
13440,Margarita,11800,1802,0.1527
13442,María La Baja,49112,21621,0.4402
13458,Montecristo,16435,3821,0.2325
13468,Mompós,48932,24915,0.5092
13473,Morales,25879,7942,0.3069
13490,Norosí,12874,2909,0.226
13549,Pinillos,25818,3646,0.1412
13580,Regidor,7915,4869,0.6152
13600,Río Viejo,12476,5921,0.4746
13620,San Cristóbal,9752,7525,0.7716
13647,San Estanislao,21426,14457,0.6747
13650,San Fernando,12713,2010,0.1581
13654,San Jacinto,27614,23866,0.8643
13655,San Jacinto del Cauca,10804,2682,0.2482
13657,San Juan Nepomuceno,42699,31764,0.7439
13667,San Martín de Loba,15866,7499,0.4726
13670,San Pablo,29198,23392,0.8012
13673,Santa Catalina,15319,5997,0.3915
13683,Santa Rosa,22497,20475,0.9101
13688,Santa Rosa del Sur,33630,20440,0.6078
13744,Simití,18488,6052,0.3273
13760,Soplaviento,13119,12897,0.9831
13780,Talaigua Nuevo,15225,7303,0.4797
13810,Tiquisio,18489,6281,0.3397
13836,Turbaco,127464,117090,0.9186
13838,Turbaná,17881,13451,0.7523
13873,Villanueva,29535,25607,0.867
13894,Zambrano,13477,11765,0.873
15001,Tunja,189660,181551,0.9572
15022,Almeida,1807,378,0.2092
15047,Aquitania,15363,6280,0.4088
15051,Arcabuco,6459,2800,0.4335
15087,Belén,7665,4814,0.628
15090,Berbeo,1652,480,0.2906
15092,Betéitiva,1809,359,0.1985
15097,Boavita,5178,2559,0.4942
15104,Boyacá,5324,964,0.1811
15106,Briceño,2254,572,0.2538
15109,Buenavista,4518,929,0.2056
15114,Busbanzá,1338,565,0.4223
15131,Caldas,2869,319,0.1112
15135,Campohermoso,3209,904,0.2817
15162,Cerinza,3545,1681,0.4742
15172,Chinavita,3086,1259,0.408
15176,Chiquinquirá,58267,51547,0.8847
15180,Chiscas,4094,1018,0.2487
15183,Chita,8237,2305,0.2798
15185,Chitaraque,5969,1374,0.2302
15187,Chivatá,2848,569,0.1998
15189,Ciénega,4531,1333,0.2942
15204,Cómbita,13517,1750,0.1295
15212,Coper,3476,951,0.2736
15215,Corrales,2570,1641,0.6385
15218,Covarachía,2867,597,0.2082
15223,Cubará,13318,3189,0.2395
15224,Cucaita,3808,1609,0.4225
15226,Cuítiva,1843,308,0.1671
15232,Chíquiza,4811,479,0.0996
15236,Chivor,2723,790,0.2901
15238,Duitama,135991,121050,0.8901
15244,El Cocuy,4304,2372,0.5511
15248,El Espino,3149,1472,0.4674
15272,Firavitoba,7137,2821,0.3953
15276,Floresta,3351,1309,0.3906
15293,Gachantivá,2750,634,0.2305
15296,Gámeza,4644,1376,0.2963
15299,Garagoa,19470,13863,0.712
15317,Guacamayas,1814,661,0.3644
15322,Guateque,11408,8264,0.7244
15325,Guayatá,3473,1244,0.3582
15332,Güicán de La Sierra,4359,1453,0.3333
15362,Iza,1936,1203,0.6214
15367,Jenesano,7387,1971,0.2668
15368,Jericó,4019,1384,0.3444
15377,Labranzagrande,3766,1354,0.3595
15380,La Capilla,2550,1048,0.411
15401,La Victoria,1150,449,0.3904
15403,La Uvita,2835,1334,0.4705
15407,Villa de Leyva,19633,10053,0.512
15425,Macanal,5342,1385,0.2593
15442,Maripí,5881,971,0.1651
15455,Miraflores,9050,5641,0.6233
15464,Mongua,4509,2032,0.4507
15466,Monguí,4338,2403,0.5539
15469,Moniquirá,23864,12838,0.538
15476,Motavita,5219,890,0.1705
15480,Muzo,8125,5437,0.6692
15491,Nobsa,17091,5878,0.3439
15494,Nuevo Colón,5249,1181,0.225
15500,Oicatá,2926,492,0.1681
15507,Otanche,8210,3835,0.4671
15511,Pachavita,2281,554,0.2429
15514,Páez,3376,1514,0.4485
15516,Paipa,38533,24085,0.625
15518,Pajarito,2172,938,0.4319
15522,Panqueba,1705,867,0.5085
15531,Pauna,7360,2368,0.3217
15533,Paya,2776,652,0.2349
15537,Paz de Río,4375,2926,0.6688
15542,Pesca,7023,2501,0.3561
15550,Pisba,1957,670,0.3424
15572,Puerto Boyacá,47802,34659,0.7251
15580,Quípama,5002,1508,0.3015
15599,Ramiriquí,10118,4424,0.4372
15600,Ráquira,8064,2714,0.3366
15621,Rondón,2468,707,0.2865
15632,Saboyá,14530,1466,0.1009
15638,Sáchica,6356,3163,0.4976
15646,Samacá,19427,8212,0.4227
15660,San Eduardo,1660,790,0.4759
15664,San José de Pare,4825,1096,0.2272
15667,San Luis de Gaceno,5277,2467,0.4675
15673,San Mateo,3409,1332,0.3907
15676,San Miguel de Sema,3081,514,0.1668
15681,San Pablo de Borbur,6771,956,0.1412
15686,Santana,7771,2805,0.361
15690,Santa María,3625,2204,0.608
15693,Santa Rosa de Viterbo,13468,8392,0.6231
15696,Santa Sofía,3332,1158,0.3475
15720,Sativanorte,2063,704,0.3413
15723,Sativasur,1026,316,0.308
15740,Siachoque,6891,1329,0.1929
15753,Soatá,9269,6792,0.7328
15755,Socotá,7477,1718,0.2298
15757,Socha,8447,4687,0.5549
15759,Sogamoso,137839,122524,0.8889
15761,Somondoco,2980,763,0.256
15762,Sora,3170,602,0.1899
15763,Sotaquirá,8086,1106,0.1368
15764,Soracá,6213,1768,0.2846
15774,Susacón,2783,689,0.2476
15776,Sutamarchán,6315,2435,0.3856
15778,Sutatenza,4250,868,0.2042
15790,Tasco,6013,1840,0.306
15798,Tenza,3623,1169,0.3227
15804,Tibaná,9095,1999,0.2198
15806,Tibasosa,13648,4809,0.3524
15808,Tinjacá,3607,933,0.2587
15810,Tipacoque,3187,983,0.3084
15814,Toca,8971,4585,0.5111
15816,Togüí,4459,759,0.1702
15820,Tópaga,3743,1191,0.3182
15822,Tota,5146,1003,0.1949
15832,Tununguá,1558,309,0.1983
15835,Turmequé,5670,2067,0.3646
15837,Tuta,8231,2597,0.3155
15839,Tutazá,2015,216,0.1072
15842,Úmbita,7722,1287,0.1667
15861,Ventaquemada,17151,3101,0.1808
15879,Viracachá,2913,513,0.1761
15897,Zetaquira,4743,1348,0.2842
17001,Manizales,472087,445953,0.9446
17013,Aguadas,22505,12057,0.5357
17042,Anserma,37421,22043,0.5891
17050,Aranzazu,10797,7320,0.678
17088,Belalcázar,10411,4885,0.4692
17174,Chinchiná,50770,45090,0.8881
17272,Filadelfia,11063,4160,0.376
17380,La Dorada,71814,63190,0.8799
17388,La Merced,5773,2330,0.4036
17433,Manzanares,18367,11157,0.6074
17442,Marmato,9390,1380,0.147
17444,Marquetalia,13618,7033,0.5164
17446,Marulanda,2689,925,0.344
17486,Neira,21553,12683,0.5885
17495,Norcasia,6167,4272,0.6927
17513,Pácora,15713,8135,0.5177
17524,Palestina,16038,5761,0.3592
17541,Pensilvania,20473,8840,0.4318
17614,Riosucio,52327,20397,0.3898
17616,Risaralda,11130,4896,0.4399
17653,Salamina,19396,11912,0.6141
17662,Samaná,21073,7177,0.3406
17665,San José,4990,1527,0.306
17777,Supía,31570,15843,0.5018
17867,Victoria,10986,5020,0.4569
17873,Villamaría,73653,65152,0.8846
17877,Viterbo,12676,10840,0.8552
18001,Florencia,186497,163675,0.8776
18029,Albania,4835,2278,0.4711
18094,Belén de Los Andaquíes,11403,7040,0.6174
18150,Cartagena del Chairá,32456,16757,0.5163
18205,Curillo,7807,5402,0.6919
18247,El Doncello,19860,13768,0.6933
18256,El Paujíl,18896,9249,0.4895
18410,La Montañita,15448,2806,0.1816
18460,Milán,10250,1122,0.1095
18479,Morelia,3805,2054,0.5398
18592,Puerto Rico,27430,15160,0.5527
18610,San José del Fragua,13270,6677,0.5032
18753,San Vicente del Caguán,52672,24694,0.4688
18756,Solano,10837,2713,0.2503
18785,Solita,6412,3819,0.5956
18860,Valparaíso,7163,2374,0.3314
19001,Popayán,352150,289308,0.8215
19022,Almaguer,18398,1042,0.0566
19050,Argelia,27672,2541,0.0918
19075,Balboa,22405,5509,0.2459
19100,Bolívar,37978,4450,0.1172
19110,Buenos Aires,33182,861,0.0259
