brand,domain,subcat,lon,lat,divipola,muni,dept,lean
Juan Valdez,comida,Cafe,-74.06302,4.63968,11001,Bogotá,,-0.0397
Crepes & Waffles,comida,Restaurante,-74.05604,4.65757,11001,Bogotá,,-0.0397
Carulla,tiendas,Supermercados,-75.55579,10.39954,13001,Cartagena de Indias,Bolívar,-0.2316
Olimpica,tiendas,Supermercados,-75.55713,10.4001,13001,Cartagena de Indias,Bolívar,-0.2316
Ara,tiendas,Descuento,-75.548,10.42356,13001,Cartagena de Indias,Bolívar,-0.2316
Olimpica,tiendas,Supermercados,-75.55062,10.41059,13001,Cartagena de Indias,Bolívar,-0.2316
Jeno's Pizza,comida,Comida rapida,-75.55613,10.40194,13001,Cartagena de Indias,Bolívar,-0.2316
Davivienda,servicios,Bancos,-74.13741,4.63605,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-75.19797,4.44728,73001,Ibagué,,0.1042
Terpel,servicios,Gasolineras,-73.88508,4.8689,XGUASCA,Guasca,,0.1121
Davivienda,servicios,Bancos,-74.08347,4.63039,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-73.03432,5.82744,15238,Duitama,Boyacá,0.0288
Davivienda,servicios,Bancos,-73.03332,5.82768,15238,Duitama,Boyacá,0.0288
Presto,comida,Comida rapida,-75.57869,6.18402,05001,Medellín,Antioquia,0.306
Davivienda,servicios,Bancos,-75.57888,6.18369,05001,Medellín,Antioquia,0.306
Juan Valdez,comida,Cafe,-74.04756,4.6761,11001,Bogotá,,-0.0397
Jumbo,tiendas,Supermercados,-75.57075,6.22929,05001,Medellín,Antioquia,0.306
Olimpica,tiendas,Supermercados,-74.04275,4.69865,11001,Bogotá,,-0.0397
Pan Pa' Ya!,comida,Comida rapida,-74.04251,4.7044,11001,Bogotá,,-0.0397
Pan Pa' Ya!,comida,Comida rapida,-74.0451,4.67895,11001,Bogotá,,-0.0397
Farmatodo,tiendas,Farmacias,-74.04487,4.67924,11001,Bogotá,,-0.0397
Presto,comida,Comida rapida,-75.21042,4.43358,73001,Ibagué,,0.1042
Bancolombia,servicios,Bancos,-75.21681,4.4381,73001,Ibagué,,0.1042
Carulla,tiendas,Supermercados,-74.04377,4.76091,11001,Bogotá,,-0.0397
Exito,tiendas,Supermercados,-74.07433,4.68698,11001,Bogotá,,-0.0397
Biomax,servicios,Gasolineras,-74.25218,4.83847,XELROSAL,El Rosal,,0.0655
Bancolombia,servicios,Bancos,-74.05661,4.6704,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.05619,4.66989,11001,Bogotá,,-0.0397
Farmatodo,tiendas,Farmacias,-74.05276,4.66632,11001,Bogotá,,-0.0397
BBVA,servicios,Bancos,-74.04464,4.73399,11001,Bogotá,,-0.0397
Pan Pa' Ya!,comida,Comida rapida,-74.05063,4.66492,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.04864,4.68284,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.04639,4.74912,11001,Bogotá,,-0.0397
Jumbo,tiendas,Supermercados,-74.09585,4.74928,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.05795,4.65871,11001,Bogotá,,-0.0397
Ara,tiendas,Descuento,-74.06443,4.64484,11001,Bogotá,,-0.0397
Pan Pa' Ya!,comida,Comida rapida,-74.05812,4.70709,11001,Bogotá,,-0.0397
Crepes & Waffles,comida,Restaurante,-74.07092,4.60052,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.09811,4.91592,25785,Tabio,25,0.1701
Bancolombia,servicios,Bancos,-74.09815,4.91585,25785,Tabio,25,0.1701
Bancolombia,servicios,Bancos,-75.06474,4.92242,73411,Líbano,Tolima,-0.1349
Banco de Bogota,servicios,Bancos,-75.06406,4.92314,73411,Líbano,Tolima,-0.1349
Bancolombia,servicios,Bancos,-73.96939,4.72013,25377,La Calera,,0.0833
Davivienda,servicios,Bancos,-73.96918,4.72023,25377,La Calera,,0.0833
Cafe OMA,comida,Cafe,-74.04889,4.68242,11001,Bogotá,,-0.0397
Carulla,tiendas,Supermercados,-75.59452,6.24483,05001,Medellín,Antioquia,0.306
Davivienda,servicios,Bancos,-74.0507,4.67875,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.22721,11.20641,47001,Santa Marta,47,-0.1554
Pizza Hut,comida,Comida rapida,-74.22689,11.20378,47001,Santa Marta,47,-0.1554
Carulla,tiendas,Supermercados,-74.04265,4.69869,11001,Bogotá,,-0.0397
Juan Valdez,comida,Cafe,-74.05256,4.66683,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-76.49479,3.58345,76892,Yumbo,Valle del Cauca,-0.4672
Olimpica,tiendas,Supermercados,-74.0645,4.68796,11001,Bogotá,,-0.0397
Pan Pa' Ya!,comida,Comida rapida,-74.04087,4.72901,11001,Bogotá,,-0.0397
Honda,automotriz,Motos,-75.21656,4.43799,73001,Ibagué,,0.1042
Carulla,tiendas,Supermercados,-74.06459,4.74039,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.10577,4.65535,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.10058,4.64754,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.13637,4.63884,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.10971,4.65311,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.12967,4.66418,11001,Bogotá,,-0.0397
Banco AV Villas,servicios,Bancos,-74.12935,4.66408,11001,Bogotá,,-0.0397
McDonald's,comida,Comida rapida,-75.57391,6.19953,05001,Medellín,Antioquia,0.306
McDonald's,comida,Comida rapida,-75.58813,6.17913,05266,Envigado,Antioquia,0.5074
Crepes & Waffles,comida,Restaurante,-75.59501,6.24502,05001,Medellín,Antioquia,0.306
Jeno's Pizza,comida,Comida rapida,-74.10843,4.66933,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.05903,4.65709,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.06277,4.65341,11001,Bogotá,,-0.0397
Exito,tiendas,Supermercados,-75.50981,5.0691,17001,Manizales,Caldas,0.1065
Farmatodo,tiendas,Farmacias,-72.48898,7.88961,54001,Cúcuta,Norte de Santander,0.5694
Jumbo,tiendas,Supermercados,-74.19971,11.23124,47001,Santa Marta,47,-0.1554
BBVA,servicios,Bancos,-74.10635,4.67112,11001,Bogotá,,-0.0397
Farmatodo,tiendas,Farmacias,-74.10712,4.67139,11001,Bogotá,,-0.0397
Terpel,servicios,Gasolineras,-75.50765,5.06688,17001,Manizales,Caldas,0.1065
BBVA,servicios,Bancos,-75.51827,5.06774,17001,Manizales,Caldas,0.1065
Bancolombia,servicios,Bancos,-75.51842,5.06778,17001,Manizales,Caldas,0.1065
Bancolombia,servicios,Bancos,-75.51802,5.06764,17001,Manizales,Caldas,0.1065
Banco de Bogota,servicios,Bancos,-75.51775,5.06753,17001,Manizales,Caldas,0.1065
Bancolombia,servicios,Bancos,-75.48837,5.06088,17001,Manizales,Caldas,0.1065
BBVA,servicios,Bancos,-75.48608,5.05665,17001,Manizales,Caldas,0.1065
Domino's,comida,Comida rapida,-75.48699,5.05537,17001,Manizales,Caldas,0.1065
Davivienda,servicios,Bancos,-74.08555,4.59548,11001,Bogotá,,-0.0397
Cafe OMA,comida,Cafe,-74.11543,4.70107,11001,Bogotá,,-0.0397
Jeno's Pizza,comida,Comida rapida,-74.11508,4.70111,11001,Bogotá,,-0.0397
Olimpica,tiendas,Supermercados,-75.49818,5.06398,17001,Manizales,Caldas,0.1065
Davivienda,servicios,Bancos,-74.08709,4.64917,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.14038,4.71257,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.09232,4.61412,11001,Bogotá,,-0.0397
Cruz Verde,tiendas,Farmacias,-75.4865,5.05721,17001,Manizales,Caldas,0.1065
Frisby,comida,Comida rapida,-75.5169,5.06719,17001,Manizales,Caldas,0.1065
Terpel,servicios,Gasolineras,-75.50858,5.06778,17001,Manizales,Caldas,0.1065
El Corral,comida,Comida rapida,-75.4856,5.0563,17001,Manizales,Caldas,0.1065
Frisby,comida,Comida rapida,-75.489,5.06073,17001,Manizales,Caldas,0.1065
Bancolombia,servicios,Bancos,-77.27832,1.21573,XPASTO,Pasto,,-0.4284
Banco de Bogota,servicios,Bancos,-77.27788,1.21502,XPASTO,Pasto,,-0.4284
Bancolombia,servicios,Bancos,-77.27783,1.21491,XPASTO,Pasto,,-0.4284
Juan Valdez,comida,Cafe,-74.06483,4.72812,11001,Bogotá,,-0.0397
Banco Caja Social,servicios,Bancos,-74.06515,4.72827,11001,Bogotá,,-0.0397
Banco de Occidente,servicios,Bancos,-74.05326,4.71378,11001,Bogotá,,-0.0397
Cruz Verde,tiendas,Farmacias,-75.5,5.06501,17001,Manizales,Caldas,0.1065
Bancolombia,servicios,Bancos,-74.07584,4.64289,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.07582,4.64298,11001,Bogotá,,-0.0397
Exito,tiendas,Supermercados,-75.48654,10.39379,13001,Cartagena de Indias,Bolívar,-0.2316
Banco Popular,servicios,Bancos,-74.07911,4.6348,11001,Bogotá,,-0.0397
Banco AV Villas,servicios,Bancos,-74.09114,4.61322,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.14843,4.62443,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.15235,4.61733,11001,Bogotá,,-0.0397
Esso,servicios,Gasolineras,-74.0038,5.02268,25899,Zipaquirá,Cundinamarca,-0.117
Bancolombia,servicios,Bancos,-74.00378,5.02319,25899,Zipaquirá,Cundinamarca,-0.117
Banco de Bogota,servicios,Bancos,-74.00325,5.02356,25899,Zipaquirá,Cundinamarca,-0.117
Terpel,servicios,Gasolineras,-74.20969,4.71391,25286,Funza,Cundinamarca,-0.0451
Cafe OMA,comida,Cafe,-74.08047,4.6836,11001,Bogotá,,-0.0397
Davivienda,servicios,Bancos,-74.1121,4.64406,11001,Bogotá,,-0.0397
Jumbo,tiendas,Supermercados,-74.07131,4.7122,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.15226,4.62033,11001,Bogotá,,-0.0397
BBVA,servicios,Bancos,-74.12518,4.57032,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.0563,4.6558,11001,Bogotá,,-0.0397
Scotiabank Colpatria,servicios,Bancos,-74.0569,4.65562,11001,Bogotá,,-0.0397
GNB Sudameris,servicios,Bancos,-74.05947,4.65642,11001,Bogotá,,-0.0397
Terpel,servicios,Gasolineras,-72.98997,5.86736,15693,Santa Rosa de Viterbo,Boyacá,0.2876
Tostao,comida,Cafe,-74.04658,4.75498,11001,Bogotá,,-0.0397
Farmatodo,tiendas,Farmacias,-74.04562,4.69058,11001,Bogotá,,-0.0397
Banco AV Villas,servicios,Bancos,-74.06722,4.62613,11001,Bogotá,,-0.0397
Banco de Bogota,servicios,Bancos,-74.08287,4.59994,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-73.7963,5.045,25736,Sesquilé,Cundinamarca,0.0279
Exito,tiendas,Supermercados,-74.1153,4.7006,11001,Bogotá,,-0.0397
El Corral,comida,Comida rapida,-74.05741,4.65517,11001,Bogotá,,-0.0397
Bancolombia,servicios,Bancos,-74.0529,4.66608,11001,Bogotá,,-0.0397
Banco Caja Social,servicios,Bancos,-74.13144,4.66391,11001,Bogotá,,-0.0397
