muni_co,muni,dep_co,dep,votval,abelardo,ivan,paloma,votant
01004,ABEJORRAL,01,ANTIOQUIA,7472,4191,924,1635,7590
25004,ABREGO,25,NORTE DE SAN,13414,10215,1963,510,13529
52005,ACACIAS,52,META,57447,30711,17424,3765,59158
01007,ABRIAQUI,01,ANTIOQUIA,1077,592,102,319,1097
17004,ACANDI,17,CHOCO,4138,1887,1944,145,4201
05004,ACHI,05,BOLIVAR,7919,4658,2215,800,7992
19004,ACEVEDO,19,HUILA,12760,8820,2115,1145,12903
12075,AGUACHICA,12,CESAR,45830,27327,14388,1461,46530
19007,AGRADO,19,HUILA,4740,3022,1086,238,4795
27004,AGUADA,27,SANTANDER,876,563,110,175,882
46040,AGUAZUL,46,CASANARE,20581,11764,5718,1455,21094
09004,AGUADAS,09,CALDAS,10770,5965,1608,2250,11026
15004,AGUA DE DIOS,15,CUNDINAMARCA,5847,2712,2401,342,5940
12150,AGUSTIN CODAZZI,12,CESAR,25097,9641,13803,674,25399
19010,AIPE,19,HUILA,9162,4851,3058,690,9266
27007,ALBANIA,27,SANTANDER,2007,1217,396,323,2025
23004,ALBAN (SAN JOSE),23,NARIÑO,4437,1787,1674,734,4515
15007,ALBAN,15,CUNDINAMARCA,3376,1883,868,339,3421
23007,ALDANA,23,NARIÑO,4136,1135,2718,129,4206
31004,ALCALA,31,VALLE,6258,2833,2456,481,6412
01010,ALEJANDRIA,01,ANTIOQUIA,2724,1811,389,312,2760
48002,ALBANIA,48,LA GUAJIRA,9887,2387,7040,104,10030
21008,ALGARROBO,21,MAGDALENA,4913,978,3585,169,4953
19013,ALGECIRAS,19,HUILA,9438,5261,2710,748,9648
44002,ALBANIA,44,CAQUETA,2295,1420,594,103,2336
11004,ALMAGUER,11,CAUCA,7521,434,6708,169,7677
29004,ALPUJARRA,29,TOLIMA,2114,1153,407,465,2135
07007,ALMEIDA,07,BOYACA,990,641,235,52,1008
17006,ALTO BAUDO (PIE DE PATO),17,CHOCO,4964,146,4717,48,4985
19016,ALTAMIRA,19,HUILA,2007,1075,772,55,2020
01013,AMAGA,01,ANTIOQUIA,12966,6531,3882,1067,13229
29007,ALVARADO,29,TOLIMA,4699,2028,1935,507,4777
15010,ANAPOIMA,15,CUNDINAMARCA,8686,5012,2349,779,8775
23010,ANCUYA,23,NARIÑO,3846,526,3033,152,3881
01019,ANDES,01,ANTIOQUIA,17551,10148,2566,3583,17719
01022,ANGELOPOLIS,01,ANTIOQUIA,2899,1619,544,410,2955
31007,ANDALUCIA,31,VALLE,10811,3604,5969,541,10949
88120,ALEMANIA,88,CONSULADOS,11994,2500,5649,1464,12005
05006,ALTOS DEL ROSARIO,05,BOLIVAR,3193,1954,1104,36,3221
01025,ANGOSTURA,01,ANTIOQUIA,3478,1816,559,600,3667
01016,AMALFI,01,ANTIOQUIA,6657,4087,1140,572,6760
15013,ANOLAIMA,15,CUNDINAMARCA,7722,4389,1867,857,7811
09007,ANSERMA,09,CALDAS,15264,7569,3630,2440,15704
31010,ANSERMANUEVO,31,VALLE,8358,3422,2708,1561,8531
29010,AMBALEMA,29,TOLIMA,3372,1307,1623,292,3432
01028,ANORI,01,ANTIOQUIA,3758,1811,1275,215,3813
01031,ANTIOQUIA,01,ANTIOQUIA,12060,5907,3261,1673,12290
29013,ANZOATEGUI,29,TOLIMA,3838,2077,894,563,3893
01034,ANZA,01,ANTIOQUIA,2901,1811,400,463,2953
24008,APIA,24,RISARALDA,5513,2667,1292,974,5648
07008,AQUITANIA (PUEBLOVIEJO),07,BOYACA,7441,4882,1210,883,7555
15217,APULO,15,CUNDINAMARCA,4523,2622,1292,355,4585
21010,ARACATACA,21,MAGDALENA,12389,3955,7645,249,12494
09013,ARANZAZU,09,CALDAS,5859,2967,679,1190,6021
27010,ARATOCA,27,SANTANDER,4613,3154,867,372,4656
01035,APARTADO,01,ANTIOQUIA,54380,16661,32102,2067,54916
15016,ARBELAEZ,15,CUNDINAMARCA,6671,3750,1781,605,6728
23013,ARBOLEDA (BERRUECOS),23,NARIÑO,3310,1167,1711,276,3363
25007,ARBOLEDAS,25,NORTE DE SAN,4841,3650,377,603,4880
07010,ARCABUCO,07,BOYACA,3314,1718,1019,321,3367
11005,ARGELIA,11,CAUCA,15791,1575,12563,350,16688
31013,ARGELIA,31,VALLE,2729,1357,586,621,2772
21012,ARIGUANI (EL DIFICIL),21,MAGDALENA,11296,5232,5064,577,11450
40010,ARAUQUITA,40,ARAUCA,14270,4931,7671,501,14684
01037,ARBOLETES,01,ANTIOQUIA,9773,4837,4120,414,9852
40001,ARAUCA,40,ARAUCA,35371,22710,7194,2745,35855
88130,ARGELIA,88,CONSULADOS,8,2,2,0,8
88155,ARGENTINA,88,CONSULADOS,10356,3817,4499,908,10374
05007,ARJONA,05,BOLIVAR,26981,7380,17814,585,27341
05005,ARENAL,05,BOLIVAR,3002,1103,1723,62,3030
01039,ARGELIA,01,ANTIOQUIA,3164,1946,334,670,3202
01040,ARMENIA,01,ANTIOQUIA,2256,1311,400,399,2305
26001,ARMENIA,26,QUINDIO,169637,84364,53484,14209,171970
12170,ASTREA,12,CESAR,8743,4758,3664,116,8807
29019,ATACO,29,TOLIMA,7489,4326,1413,1341,7600
05009,ARROYO HONDO,05,BOLIVAR,3890,2650,982,123,3913
29016,ARMERO (GUAYABAL),29,TOLIMA,5668,2143,2853,329,5790
88160,ARUBA,88,CONSULADOS,3505,2377,773,203,3515
88165,AUSTRALIA,88,CONSULADOS,20274,6933,8565,1431,20296
13004,AYAPEL,13,CORDOBA,14331,6836,6663,323,14456
17007,BAGADO,17,CHOCO,2843,289,2410,58,2868
17008,BAHIA SOLANO (MUTIS),17,CHOCO,3623,655,2722,117,3669
17010,BAJO BAUDO (PIZARRO),17,CHOCO,3968,263,3409,158,4038
11006,BALBOA,11,CAUCA,13864,1470,10892,433,14522
24013,BALBOA,24,RISARALDA,2968,1410,978,312,3040
